What is your view on politics in us & world,Ballot used for interview,Year of birth,Household type,Number in family of r,Rs income in constant $,Family income in constant $,Rs job is useful to society,R has opportunity to advance,Rs income is high,Rs job is secure,Standard of living of r will improve,Relationship status and cohabitation or not,The highest degree r have earned,Total family income,Respondents income,How much time felt sad in past wk,How much time felt happy in past wk,How much time felt depressed in past wk,Hours of internet use on weekends,Minutes of internet use on weekends,Hours of internet use on weekdays,Minutes of internet use on weekdays,Use twitter,Use internet/apps more than occassionally,I am meeting my current goals,I see myself as successful,I expect more good things to happen to me than bad,I'm always optimistic about my future,Hours per day watching tv,How often does r read newspaper,Rs living standard compared to parents,Happiness of marriage,General happiness,Strength of affiliation,Political party affiliation,Region of interview,Respondents income,Total family income,Was r born in this country,Rs family income when 16 yrs old,Living with parents when 16 yrs old,Marital status,Number of hours usually work a week,Respondent id number,Happiness of relt with partner,Condition of health,Satisfaction with financial situation,Rs self ranking of social position,Job or housework,Is r likely to lose job,Spend evening with friends,Spend evening with relatives,Confidence in congress,Confid. in united states supreme court,Confid. in exec branch of fed govt,Confidence in education,Confidence in major companies,Can people be trusted,Is life exciting or dull,Gss year for this respondent                       
Not applicable,Ballot b,1993,"3adlts,0mar,rel,0kids",4th person,0,46800,Neither,Agree,Strongly agree,Agree,Agree,"I have a husband or wife or steady partner, but we don’t live in the same household.",Not applicable,$90000 to $109999,Not applicable,Not applicable,Not applicable,Not applicable,6,0,1,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,3,Never,Much better,Not applicable,Pretty happy,No religion,Not str democrat,South atlantic,Not applicable,$25000 or more,Yes,Average,M and f relatives,Never married,Not applicable,1242,Not applicable,Not applicable,More or less,Top,Mod. satisfied,Very likely,Sev times a week,Almost daily,Only some,Only some,Only some,A great deal,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1990,"1adlt,0kids",1st person,21060,21060,Agree,Disagree,Agree,Strongly agree,Strongly agree,Not applicable,Not applicable,$40000 to 49999,$40000 to 49999,Some of the time,Most of the time,None or almost none of the time,2,0,2,0,Yes,Yes,Somewhat true,Mostly true,Strongly agree,Agree,Not applicable,Not applicable,Somewhat better,Not applicable,Very happy,Strong,"Ind,near rep",South atlantic,$25000 or more,$25000 or more,Yes,Above average,Mother & father,Never married,Not applicable,1243,Not applicable,Good,Satisfied,2,Mod. satisfied,Not applicable,Not applicable,Not applicable,Only some,A great deal,Only some,Only some,Only some,Can trust,Exciting,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1983,"1adlt,0kids",1st person,25740,46800,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Phd,$90000 to $109999,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Few times a week,Not applicable,Very happy,Pretty happy,Not very strong,Independent,South atlantic,$25000 or more,$25000 or more,No,Average,Mother & father,Married,Not applicable,1244,Not applicable,Good,More or less,4,Mod. satisfied,Not likely,Once a month,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1968,"1adlt,0kids",1st person,25740,25740,Strongly agree,Agree,Neither,Neither,Neither,I don’t have a steady partner.,Not applicable,$50000 to 59999,$50000 to 59999,None or almost none of the time,Some of the time,None or almost none of the time,2,0,1,30,No,Yes,Mostly true,Somewhat true,Agree,Neutral,Not applicable,Not applicable,Much better,Not applicable,Pretty happy,Not very strong,Not str democrat,South atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Never married,Not applicable,1245,Not applicable,Good,More or less,5,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Hardly any,Only some,Only some,Can trust,Exciting,2016
Not applicable,Ballot c,1980,"2adlts,mar,1+kids",2nd person,46800,65520,Strongly agree,Disagree,Agree,Disagree,Agree,Not applicable,Not applicable,$130000 to $149999,$90000 to $109999,None or almost none of the time,Most of the time,None or almost none of the time,1,0,1,0,Yes,Yes,Slightly true,Slightly true,Agree,Neutral,Not applicable,Not applicable,Somewhat better,Pretty happy,Pretty happy,No religion,Not str democrat,South atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1246,Not applicable,Good,More or less,4,Mod. satisfied,Not applicable,Not applicable,Not applicable,A great deal,A great deal,A great deal,Only some,A great deal,Cannot trust,Routine,2016
Not applicable,Ballot b,1997,"3adlts,2mar,sp,rel,0kids",3rd person,3042,65520,Agree,Agree,Neither,Agree,Agree,I don’t have a steady partner.,Not applicable,$130000 to $149999,$6 000 to 6 999,Not applicable,Not applicable,Not applicable,6,30,5,0,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,6,Never,Much better,Not applicable,Very happy,Strong,"Ind,near dem",South atlantic,$6000 to 6999,$25000 or more,Yes,Above average,Mother & father,Never married,Not applicable,1247,Not applicable,Not applicable,Satisfied,3,Mod. satisfied,Not likely,Almost daily,Almost daily,Hardly any,A great deal,Only some,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1967,"2adlts,mar,1+kids",1st person,17550,56160,Strongly agree,Strongly disagree,Disagree,Disagree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$110000 to $129999,$35000 to 39999,Some of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Somewhat true,Mostly true,Agree,Agree,Not applicable,Not applicable,Somewhat better,Very happy,Very happy,Not very strong,Not str democrat,South atlantic,$25000 or more,$25000 or more,Yes,Far above average,Female relative,Married,Not applicable,1248,Not applicable,Good,Not at all sat,6,Mod. satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Only some,Only some,Only some,Cannot trust,Routine,2016
Not applicable,Ballot c,1978,"2adlts,mar,1+kids",1st person,25740,31590,Agree,Neither,Disagree,Agree,Neither,I am married and living in the same household as my husband or wife.,Not applicable,$60000 to 74999,$50000 to 59999,None or almost none of the time,Most of the time,None or almost none of the time,0,45,2,0,No,Yes,Mostly true,Mostly true,Agree,Agree,Not applicable,Not applicable,Much better,Very happy,Very happy,No religion,"Ind,near dem",South atlantic,$25000 or more,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1249,Not applicable,Excellent,More or less,5,Very satisfied,Not applicable,Not applicable,Not applicable,Only some,Only some,Only some,Only some,Only some,Can trust,Exciting,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot b,1972,"2adlts,mar,1+kids",2nd person,936,56160,No issp,No issp,No issp,No issp,Strongly agree,Not applicable,Bachelor's,$110000 to $129999,$1 000 to 2 999,Not applicable,Not applicable,Not applicable,2,0,4,0,No,Yes,Somewhat true,Definitely true,Strongly agree,Strongly agree,3,Once a week,Much better,Pretty happy,Pretty happy,Not very strong,"Ind,near dem",South atlantic,$1000 to 2999,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1250,Not applicable,Not applicable,More or less,5,Very satisfied,Not likely,Sev times a week,Sev times a week,Hardly any,Only some,Hardly any,Hardly any,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot b,1987,"2adlts,mar,1+kids",1st person,31590,46800,Agree,Agree,Agree,Strongly agree,Agree,I am married and living in the same household as my husband or wife.,Not applicable,$90000 to $109999,$60000 to 74999,Not applicable,Not applicable,Not applicable,4,0,8,0,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,1,Once a week,Somewhat better,Pretty happy,Pretty happy,Strong,"Ind,near dem",South atlantic,$25000 or more,$25000 or more,Yes,Far below average,Father,Married,Not applicable,1251,Not applicable,Not applicable,More or less,6,Mod. satisfied,Not likely,Once a month,Sev times a week,Hardly any,Hardly any,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1988,"2adlts,mar,1+kids",2nd person,0,25740,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Master's,$50000 to 59999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Less than once wk,Not applicable,Very happy,Pretty happy,Strong,Not str democrat,South atlantic,Not applicable,$25000 or more,Yes,Above average,Mother & father,Married,Not applicable,1252,Not applicable,Good,More or less,3,Very satisfied,Not applicable,Once a year,Sev times a mnth,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
Not applicable,Ballot b,1974,"3adlts,2mar,rel,0kids",1st person,12870,21060,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,I don’t have a steady partner.,Not applicable,$40000 to 49999,$25000 to 29999,Not applicable,Not applicable,Not applicable,0,20,0,45,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,About the same,Not applicable,Pretty happy,Strong,Not str republican,South atlantic,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Never married,Not applicable,1253,Not applicable,Not applicable,Satisfied,6,Very satisfied,Not likely,Once a month,Almost daily,Only some,Only some,Hardly any,Only some,Only some,Cannot trust,Not applicable,2016
Not applicable,Ballot c,1956,"3adlts,2mar,sp,rel,0kids",2nd person,11115,0,Strongly agree,Disagree,Disagree,Disagree,Disagree,Not applicable,Not applicable,Don't know,$22500 to 24999,Some of the time,Most of the time,None or almost none of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Mostly true,Mostly true,Strongly agree,Agree,Not applicable,Not applicable,Don't know,Very happy,Very happy,Not very strong,"Ind,near dem",South atlantic,$20000 - 24999,Don't know,Yes,Above average,Mother & father,Married,Not applicable,1254,Not applicable,Good,Satisfied,6,Very satisfied,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,A great deal,Hardly any,Cannot trust,Exciting,2016
"Policies in america depend on what is happening in the world economy, rather than who is in government",Ballot a,1973,"4+adlts,2mar,1+kids",2nd person,21060,21060,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$40000 to 49999,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Never,Not applicable,Pretty happy,Pretty happy,Not very strong,"Ind,near dem",South atlantic,$25000 or more,$25000 or more,No,Below average,Other,Married,Not applicable,1255,Not applicable,Good,More or less,3,Very satisfied,Not likely,Sev times a week,Almost daily,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Routine,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot b,1979,"2adlts,mar,1+kids",1st person,0,21060,No issp,No issp,No issp,No issp,Agree,Not applicable,Not applicable,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,2,0,1,0,No,Yes,Somewhat false,Somewhat true,Agree,Agree,1,Never,About the same,Not too happy,Pretty happy,Strong,Strong democrat,South atlantic,Not applicable,$25000 or more,Yes,Far below average,Mother & father,Married,Not applicable,1256,Not applicable,Not applicable,Not at all sat,6,Very satisfied,Don't know,Sev times a mnth,Sev times a week,Hardly any,Only some,Hardly any,Only some,Hardly any,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1962,"2adlts,mar,0kids",2nd person,0,21060,No issp,No issp,No issp,No issp,Not applicable,I am married and living in the same household as my husband or wife.,Bachelor's,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0,Never,Not applicable,Pretty happy,Pretty happy,Not very strong,"Ind,near rep",South atlantic,Not applicable,$25000 or more,Yes,Below average,Mother,Married,Not applicable,1257,Not applicable,Fair,Not at all sat,5,No answer,Not applicable,Sev times a mnth,Sev times a year,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot b,1986,"2adlts,mar,1+kids",1st person,31590,38610,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither,I am married and living in the same household as my husband or wife.,Not applicable,$75000 to $89999,$60000 to 74999,Not applicable,Not applicable,Not applicable,1,0,1,0,No,Yes,Not applicable,Not applicable,Not applicable,Not applicable,2,Never,Much better,Very happy,Very happy,Strong,Strong republican,South atlantic,$25000 or more,$25000 or more,Yes,Average,Mother,Married,Not applicable,1258,Not applicable,Not applicable,More or less,3,Very satisfied,Not likely,Sev times a year,Sev times a mnth,Hardly any,Hardly any,Hardly any,Hardly any,Only some,Cannot trust,Not applicable,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1947,"2adlts,mar,0kids",2nd person,56160,56160,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$110000 to $129999,$110000 to $129999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,Not applicable,Pretty happy,Pretty happy,Somewhat strong,Not str republican,South atlantic,$25000 or more,$25000 or more,Yes,Below average,Mother & father,Married,Not applicable,1259,Not applicable,Fair,Satisfied,5,Very satisfied,Not likely,Sev times a year,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
Not applicable,Ballot c,1956,"2adlts,mar,0kids",1st person,0,0,No issp,No issp,No issp,No issp,Disagree,Not applicable,Not applicable,Refused,Not applicable,Most of the time,None or almost none of the time,All or almost all of the time,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Definitely false,Mostly false,Disagree,Disagree,Not applicable,Not applicable,Don't know,No answer,No answer,No answer,No answer,South atlantic,Not applicable,Refused,Yes,Below average,Mother & father,Married,Not applicable,1260,Not applicable,No answer,Not at all sat,Bottom,Not applicable,Not applicable,Not applicable,Not applicable,Hardly any,Hardly any,Hardly any,Only some,Hardly any,Cannot trust,No answer,2016
"Policies in america depend more on who is in government, rather than what is happening in the world economy",Ballot a,1961,"2adlts,mar,0kids",2nd person,0,21060,No issp,No issp,No issp,No issp,Not applicable,Not applicable,Not applicable,$40000 to 49999,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2,Everyday,Not applicable,Very happy,Not too happy,Strong,Not str republican,South atlantic,Not applicable,$25000 or more,Yes,Average,Mother & father,Married,Not applicable,1261,Not applicable,Poor,More or less,5,Very satisfied,Not applicable,Sev times a mnth,Sev times a week,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Exciting,2016
